cluster,city,state,country,institution_name,archetype,contact_name,contact_email,instagram_handle,phone,website,recommended_topic,priority,personalized_hook,format_recommendation,language_confidence,notes,send_via,verified
Zimbabwe+Namibia,Harare,,Zimbabwe,University of Zimbabwe Department of Music & Musicology,conservatory,Dept of Music,music@uz.ac.zw,@univofzim,+263 242 303211,https://www.uz.ac.zw,Music Theory & Ear Training,Medium,"A cross-tradition theory and ear-training session from a multi-instrumentalist would complement your formal music and musicology curriculum.",Full-day workshop,medium,Route via UZ Department of Music / faculty office.,INSTANTLY_OK,low
Zimbabwe+Namibia,Gweru,,Zimbabwe,Midlands State University — Music Business Musicology & Technology,conservatory,Dept Office,music@staff.msu.ac.zw,@midlandsstateuniversity,+263 542 260404,https://ww5.msu.ac.zw,Modern Music Production / DAW + Musicology,Medium,"Your music business, musicology and technology focus puts production-curious students at the centre — a modern-production workshop gives them a working framework immediately.",Full-day workshop,medium,Route via MSU Music Business, Musicology & Technology dept.,INSTANTLY_OK,low
Zimbabwe+Namibia,Harare,,Zimbabwe,St George's College Harare,international_school,,info@stgeorges.co.zw,@stgeorgeszimbabwe,+263 242 707961,https://www.stgeorges.co.zw,Multi-instrumental masterclass,High,"Your Jesuit school's strong arts and music tradition makes St George's a natural Harare stop for a multi-instrumental masterclass.",Full-day workshop,medium,Route via info@stgeorges.co.zw to Music Dept. IG @stgeorgeszimbabwe.,INSTANTLY_OK,medium
Zimbabwe+Namibia,Marondera,Mashonaland East,Zimbabwe,Peterhouse Group of Schools,international_school,,registrar@peterhouse.co.zw,@peterhousegroup,+263 279 24951,https://peterhousegroup.co.zw,Multi-instrumental residency + Vocal Harmony,High,"Peterhouse's chapel-choir tradition and strong music programme make it well suited to a visiting-artist residency with a vocal-harmony module.",Week-long residency,medium,"PO Box P, Marondera. Route via registrar to Director of Music. FB @peterhousegroupzimbabwe.",INSTANTLY_OK,medium
Zimbabwe+Namibia,Harare,,Zimbabwe,Prince Edward School,international_school,,info@princeedward.ac.zw,@princeedwardschool,+263 242 706041,https://www.princeedward.ac.zw,Multi-instrumental masterclass,Medium,"As a historic Harare boys' school with an active music programme, a multi-instrumental masterclass would fit your students well.",Half-day intensive,low,Route via school office to Music Dept.,INSTANTLY_OK,low
Zimbabwe+Namibia,Marondera,Mashonaland East,Zimbabwe,Watershed College,international_school,,info@watershedcollege.co.zw,@watershedcollege,+263 65 2382550,https://www.watershedcollege.co.zw,Multi-instrumental masterclass,Medium,"Your active music programme would benefit from a visiting multi-instrumentalist's masterclass for your students.",Half-day intensive,low,Route via school office.,INSTANTLY_OK,low
Zimbabwe+Namibia,Harare,,Zimbabwe,Innovate Institute,international_school,,info@innovateinstitute.co.zw,@innovateinstitute,,https://www.innovateinstitute.co.zw,Modern Music Production + Multi-instrumental,Medium,"As a Glen Forest boarding school built around academic, sporting and artistic excellence, a production and multi-instrumental workshop could anchor a strong arts event.",Half-day intensive,low,Glen Forest, ~20km from Harare CBD. Verify email via site.,INSTANTLY_OK,low
Zimbabwe+Namibia,Windhoek,,Namibia,College of the Arts (COTA) Windhoek,conservatory,COTA Office,info@cota.edu.na,@cotanam,+264 61 374100,https://cota.edu.na,Multi-instrumental masterclass + Jazz Improvisation,Highest,"Since 1971 COTA has taught everything from jazz and popular styles to African instruments (marimba, mbira) — an Indian multi-instrumentalist's cross-tradition masterclass would be a genuinely new addition for Namibia's only dedicated arts college.",Week-long residency,high,"41 Fidel Castro Street, Windhoek; +264 61 374100. FB @cotanam. State arts college since 1971.",INSTANTLY_OK,high
Zimbabwe+Namibia,Windhoek,,Namibia,University of Namibia (UNAM) — Visual & Performing Arts,conservatory,Dept of Visual & Performing Arts,info@unam.na,@unam_namibia,+264 61 206 3111,https://www.unam.edu.na,Music Theory & Ear Training (Indian-influenced),High,"As the only tertiary institution teaching music in Namibia, your Visual & Performing Arts students would gain a genuinely new cross-tradition perspective from an Indian multi-instrumentalist.",Full-day workshop,high,"info@unam.na / +264 61 206 3111. 340 Mandume Ndemufayo Ave, Pionierspark, Windhoek.",INSTANTLY_OK,high
Zimbabwe+Namibia,Windhoek,,Namibia,UNAM Choir,school_choir_social,UNAM Dept of Music,info@unam.na,@unam_namibia,+264 61 206 3111,https://www.unam.edu.na,Vocal Harmony + arrangement,High,"HAND-WRITE. Your renowned university choir would be a wonderful place to share a vocal-harmony and arrangement session — I'd love to discuss a visit personally via the UNAM music department.",Full-day workshop,medium,Hand-write via UNAM Dept of Visual & Performing Arts.,DO_NOT_USE_INSTANTLY,medium
Zimbabwe+Namibia,Windhoek,,Namibia,Windhoek International School,international_school,,info@wis.edu.na,@windhoekinternationalschool,+264 61 241783,https://www.wis.edu.na,Multi-instrumental masterclass,Medium,"Your international community and music programme make WIS a natural Windhoek stop for a visiting multi-instrumentalist's masterclass.",Half-day intensive,low,Route via info@wis.edu.na to Music Dept.,INSTANTLY_OK,low
Zimbabwe+Namibia,Harare,,Zimbabwe,Archdiocese of Harare — Cathedral choirs,church_choir,Archdiocese Music Office,info@catholicharare.org,,,https://www.catholicharare.org,Sacred music arrangement workshop,Medium,"HAND-WRITE. Harare's Catholic community sustains active cathedral choirs — a sacred-music arrangement and vocal-harmony session would be a meaningful contribution. Reach via the Archdiocese music office.",Half-day intensive,low,Hand-write via Archdiocese of Harare music office; verify email.,DO_NOT_USE_INSTANTLY,low
Zimbabwe+Namibia,Harare,,Zimbabwe,St John's College Harare,international_school,,info@stjohns.co.zw,@stjohnsharare,+263 242 870229,https://www.stjohns.co.zw,Multi-instrumental masterclass,Medium,"Your established music programme makes St John's a good Harare stop for a multi-instrumental masterclass for your students.",Half-day intensive,low,Route via school office to Music Dept.,INSTANTLY_OK,low
