id,cluster,priority,archetype,name,city,state,contact_person,email,phone,instagram,facebook,website,recommended_topic,personalized_hook,verified,notes
tcsm,South,medium,std,The Coimbatore School of Music (TCSM),Coimbatore,Tamil Nadu,,,,,,,https://tcsm.in,Multi-instrumental masterclass,Wide range of Western instruments and music theory courses — Trinity College London exam centre,low,Try info@tcsm.in via website.
mkvs,South,medium,std,MKVS Music & Multimedia Arts Academy,Coimbatore,Tamil Nadu,,,,,,, https://mkvsmusicacademy.com,Modern Music Production + DAW workflow,Multimedia + music focus puts production-curious students at the center,low,Use website contact form.
prismone,South,low,std,Prismone Music Academy,Coimbatore,Tamil Nadu,,,,,,, https://prismonemusicacademy.com,Multi-instrumental masterclass,Range of instruments and genres for all ages,low,Use website contact form.
mysore-univ,South,medium,std,University of Mysore Faculty of Music,Mysore,Karnataka,Registrar,registrar@uni-mysore.ac.in,+91 821 2419590,,,https://uni-mysore.ac.in,Music Theory & Ear Training (cross-tradition),Strong Hindustani and Carnatic heritage — cross-tradition Music Theory would complement,medium,NOTE: No standalone music dept on campus. Better routes: Maharaja's College Mysore (BA Music) or JSS Music College. Ask Registrar to direct.
jss-music,South,medium,std,JSS Music College Mysore,Mysore,Karnataka,,jsscom@jssonline.org,+91 821 2548225,,,,"Multi-instrumental masterclass","Active music education program bridging classical and contemporary",low,Part of JSS Mahavidyapeetha.
stjosephs-mysore,South,medium,std,St. Joseph's School Mysore,Mysore,Karnataka,,,,,,,,"Multi-instrumental masterclass","Christian-tradition school with active music program",low,Try stjosephsmysore.com / office@stjosephsmysore.com.
mku,South,medium,std,Madurai Kamaraj University Music Dept,Madurai,Tamil Nadu,,,+91 452 2458471,,,,,"Music Theory & Ear Training","Active music department",low,Try via mkuniversity.ac.in.
ladydoak,South,medium,std,Lady Doak College,Madurai,Tamil Nadu,Principal,principal@ldc.edu.in,+91 452 2530527,,,https://www.ladydoakcollege.edu.in,Vocal Harmony + Music Theory,First women's college in Madurai (est. 1948) — Christian ethos and strong cultural programs,high,Also try ccm@ldc.edu.in (Cultural Ministry). Request forward to Music HOD or Choir Director.
american-college-madurai,South,medium,std,American College Madurai,Madurai,Tamil Nadu,Principal,principal@americancollege.edu.in,+91 452 2530527,,,https://americancollege.edu.in,Multi-instrumental masterclass,Christian missionary heritage since 1881 — NIRF Rank 54 nationally (2024) — Dept of Fine Arts active,high,Alt: admin@americancollege.edu.in. Request forward to Music/Fine Arts HOD.
symbiosis-svap,Bonus,medium,std,Symbiosis School for Liberal Arts (SSLA),Pune,Maharashtra,Dr. Shweta Sinha Deshpande (Director),admissions@ssla.edu.in,+91 20 66861200,,https://facebook.com/ssla.pune,https://www.ssla.edu.in,Multi-instrumental masterclass + theatre music,India's first Liberal Arts college (est. 2011) — Performing Arts as Major/Minor,high,Alt: adminofficer@ssla.edu.in / +91 99609 75736. Viman Nagar Pune 411014.
pune-cathedral,Bonus,medium,std,Cathedral & John Connon School,Mumbai,Maharashtra,Principal,,+91 22 22001282,,https://facebook.com/cajcsschool,https://cathedral-school.com,Multi-instrumental masterclass + Sacred Music,Famous for choir and sacred music tradition since 1860 — one of India's oldest and most respected schools,medium,IMPORTANT: This is in MUMBAI (Fort) not Pune. Jason to confirm if Mumbai visit is in scope. VP: Nalini Samuel.
mahindra-uwc,Bonus,medium,std,Mahindra United World College (MUWCI),Pune,Maharashtra,Head of College,info@muwci.net,+91 97644 42751,,https://facebook.com/uwcmahindracollege,https://www.uwcmahindracollege.org,Multi-instrumental residency,Only UWC in South Asia — 240 boarders from 70+ countries — Theatre Season is a campus highlight,high,Village Khubavali PO Paud Mulshi Pune 412108. ~40km west of Pune. Alt: head@muwci.net.
suchitra-hyd,Bonus,medium,std,Suchitra Academy of Performing Arts,Hyderabad,Telangana,,,,,,,"Multi-instrumental masterclass + Riffs Method","Performing arts focus",low,Try suchitraacademy.com / info@suchitraacademy.com / +91 40 2304 5567.
hyd-christian-choirs,Bonus,medium,hw,Christian community choirs Hyderabad,Hyderabad,Telangana,,,,,,,Sacred music arrangement workshop,Large active Christian community with established church choirs — CSI and Catholic both active,low,Hand-written. Try Diocese of Hyderabad (Catholic) archdioceseofhyderabad.org / CSI Diocese of Medak csimedak.org.
daly-indore,Bonus,medium,std,Daly College Indore,Indore,Madhya Pradesh,,,+91 731 2762110,,,,Multi-instrumental masterclass,Established boarding school music program with princely heritage since 1882,low,Try dalycollege.org / office@dalycollege.org.
scindia,Bonus,medium,std,Scindia School Gwalior,Gwalior,Madhya Pradesh,,,+91 751 2480750,,,,Multi-instrumental masterclass,Princely heritage and established music program since 1897,low,Try scindia.edu / office@scindia.edu.
bhatkhande,Bonus,medium,std,Bhatkhande Sanskriti Vishwavidyalaya,Lucknow,Uttar Pradesh,Roshan Jacob (Vice-Chancellor) / Dr. Srishti Mathur (HOD Vocal),info@bhatkhandemusic.co.in,+91 522 2611160,,,https://bhatkhandeuniversity.ac.in,Music Theory & Ear Training (cross-tradition) + Western classical workshop,India's most storied Hindustani classical music university — TEACHES WESTERN CLASSICAL SINCE 2009,high,Alt: registrar.bsv@gmail.com / bhatkhandemusicinstitute@gmail.com. Lal Baradari Campus 1 Kaiserbagh Lucknow 226001. Full state university 2022.
bhu,Bonus,medium,std,BHU Faculty of Performing Arts Varanasi,Varanasi,Uttar Pradesh,Dr. K. Sashi Kumar (Dean),dean_prfarts@bhu.ac.in,+91 98393 68578,,,https://bhu.ac.in/performing_arts,Music Theory & Ear Training cross-tradition — FRAME AS CROSS-CULTURAL EXCHANGE,BHU's Faculty of Performing Arts est. 1950 — Dhrupad Thumri Khayal traditions — a Western multi-instrumentalist's visit is genuinely novel,high,DIRECT DEAN EMAIL confirmed. Dept emails: hd_vm@bhu.ac.in (Vocal) / hd_instm@bhu.ac.in (Instrumental) / hd_musico@bhu.ac.in (Musicology). Frame pitch as cross-cultural exchange NOT standard masterclass.
khairagarh,Bonus,low,std,Indira Kala Sangit Vishwavidyalaya Khairagarh,Khairagarh,Chhattisgarh,Prof. Dr. Naman Dutt (Dean & HoD Music),ndutt@iksv.ac.in,+91 94061 38608,,,https://www.iksv.ac.in,Music Theory & Ear Training,Only university in India dedicated entirely to music dance and fine arts,medium,Registrar: reg@iksv.ac.in.
pracheen-kala,Bonus,low,std,Pracheen Kala Kendra Chandigarh,Chandigarh,Chandigarh,,,,,,,"Music Theory & Ear Training","Established music examination and education body",low,Try pracheenkalakendra.org / info@pracheenkalakendra.org / +91 172 2541344.
utkal-bbsr,Bonus,low,std,Utkal University of Culture Bhubaneswar,Bhubaneswar,Odisha,,,+91 674 2460107,,,,Music Theory & Ear Training,Formal music programs in cultural arts university,low,Try utkaluniversityofculture.ac.in / registrar@uuc.ac.in.
prayag-sangeet,Bonus,medium,std,Prayag Sangeet Samiti,Prayagraj,Uttar Pradesh,,prayagsangeetsamiti@gmail.com,,,,,Music Theory & Ear Training (Indian-influenced lens),Cornerstone of Hindustani classical music education since 1926 — a cross-tradition dialogue would be genuinely novel,medium,Website: prayagsangeetsamiti.com
itc-sra,Production,highest,std,ITC Sangeet Research Academy (ITC SRA),Kolkata,West Bengal,,itcsra@itcnet.co.in,+91 33 2377 3395,@itcsrakolkata,https://www.facebook.com/ITCSangeetResearchAcademy,https://itcsra.org,Cross-tradition workshop: Recording & production masterclass + Music Theory & Ear Training + Riffs Method,ITC SRA's founding board included Ravi Shankar Satyajit Ray and Yehudi Menuhin — world-class recording studio on campus — international collaboration history since founding,high,Active IG 2639 followers 556 posts. FB 35K followers. Alumni: Rashid Khan Kaushiki Chakraborty. Use contact form on itcsra.org. Tollygunge Kolkata.
gandharva-delhi,Production,high,std,Gandharva Mahavidyalaya New Delhi,New Delhi,Delhi,Pandit Madhup Mudgal (Head since 1995),gmvnewdelhi@gmail.com,+91 11 47535171,,,https://gandharvamahavidyalayanewdelhi.org,Vocal Harmony + choral arrangement + Jazz harmony intersecting with Hindustani improvisation,The Gandharva Choir — founded 1972 — performs original compositions blending traditional and choral elements at national and international venues,high,Alt phones: 011-23233791 / 23238784. 1200+ students 60 teachers. Annual Vishnu Digambar Jayanti Sangeet Samaroh. 212 Deen Dayal Upadhyaya Marg New Delhi 110002.
calcutta-school-music,Production,high,std,Calcutta School of Music,Kolkata,West Bengal,,calcuttaschoolofmusic@gmail.com,+91 33 2464 4672,,,https://www.calcuttaschoolofmusic.com,Modern Music Production + DAW masterclass + Jazz Improvisation + Vocal Harmony,Founded in 1915 — your tradition in Western classical jazz and contemporary music plus your music production department makes CSM one of the only institutions bridging classical performance with modern production,medium,Est. 1915. Western classical + jazz + music production department.
gmi-noida,Production,highest,std,Global Music Institute (Berklee India Partner),Greater Noida,Uttar Pradesh,,info@gmi.edu.in,,,,,https://www.gmi.edu.in,Modern Music Production + DAW workflow + Riffs Method + Live Performance Coaching + Multi-instrumental masterclass,GMI was founded by Berklee graduates Aditya and Tarun Balani — same Berklee network you move in — international visiting faculty is their core model — your multi-instrumental + home recording + Riffs Method workshop is exactly what their students need,high,Berklee College of Music partner. Founded 2011. Regularly brings international visiting faculty. Teaches Hindustani+Western. Greater Noida Delhi NCR.
seamedu-pune,Production,high,std,Seamedu School of Pro-Expressionism,Pune,Maharashtra,,info@seamedu.com,+91 20 6601 3938,,,https://www.seamedu.com,Home Recording Workshop + Modern Music Production + DAW workflow + Mixing/Mastering masterclass,Seamedu specializes in sound engineering and music production — your real-world studio experience at Nathaniel Production House and your DAW/mixing/mastering knowledge is directly applicable,medium,Pune. Sound engineering + music production specialization.
angels-jaipur,Production,high,std,Angel's Music Academy Jaipur,Jaipur,Rajasthan,,info@angelsmusicacademy.com,,,,,https://angelsmusicacademy.com,Modern Music Production + Mixing/Mastering + The Riffs Method,India's only Dolby Atmos certified training centre — serious production credibility in a non-metro city — your Nathaniel Production House experience gives you real professional studio credibility with their students,medium,Jaipur Rajasthan. India's only Dolby Atmos authorized training centre.
